name	search_text	ric	boost
DXC Technology Co	DXC DXC DXC Technology DXC Technology Co	DXC.N	1.36873575
Continental Resources Inc	CLR Continental Continental Resources Continental Resources Inc	CLR.N	1.363046166
Extra Space Storage Inc	EXR Extra Extra Space Extra Space Storage Extra Space Storage Inc	EXR.N	1.3569904309999998
Quest Diagnostics Inc	DGX Quest Quest Diagnostics Quest Diagnostics Inc	DGX.N	1.337607278
Host Hotels & Resorts Inc	HST Host Host Hotels Host Hotels & Host Hotels & Resorts Host Hotels & Resorts Inc	HST.N	1.336607028
Live Nation Entertainment Inc	LYV Live Live Nation Live Nation Entertainment Live Nation Entertainment Inc	LYV.N	1.334281289
Hasbro Inc	HAS Hasbro Hasbro Inc	HAS.OQ	1.332520168
DexCom Inc	DXCM DexCom DexCom Inc	DXCM.OQ	1.328068542
Mid-America Apartment Communities Inc	MAA Mid-America Mid-America Apartment Mid-America Apartment Communities Mid-America Apartment Communities Inc	MAA.N	1.322988509
TransUnion	TRU TransUnion	TRU.N	1.3087781490000001
Dentsply Sirona Inc	XRAY Dentsply Dentsply Sirona Dentsply Sirona Inc	XRAY.OQ	1.308737402
Annaly Capital Management Inc	NLY Annaly Annaly Capital Annaly Capital Management Annaly Capital Management Inc	NLY.N	1.308502462
Celanese Corp	CE Celanese Celanese Corp	CE.N	1.299756883
Cardinal Health Inc	CAH Cardinal Cardinal Health Cardinal Health Inc	CAH.N	1.296856869
UDR Inc	UDR UDR UDR Inc	UDR.N	1.289391309
CNA Financial Corp	CNA CNA CNA Financial CNA Financial Corp	CNA.N	1.2753747340000001
KKR & Co Inc	KKR KKR KKR & KKR & Co KKR & Co Inc	KKR.N	1.2749932929999999
Fortinet Inc	FTNT Fortinet Fortinet Inc	FTNT.OQ	1.273797758
Akamai Technologies Inc	AKAM Akamai Akamai Technologies Akamai Technologies Inc	AKAM.OQ	1.2711387109999999
Lincoln National Corp	LNC Lincoln Lincoln National Lincoln National Corp	LNC.N	1.265567252
Hologic Inc	HOLX Hologic Hologic Inc	HOLX.OQ	1.263475245
Tractor Supply Co	TSCO Tractor Tractor Supply Tractor Supply Co	TSCO.OQ	1.261642743
Crowdstrike Holdings Inc	CRWD Crowdstrike Crowdstrike Holdings Crowdstrike Holdings Inc	CRWD.OQ	1.260448247
Citrix Systems Inc	CTXS Citrix Citrix Systems Citrix Systems Inc	CTXS.OQ	1.25550061
Campbell Soup Co	CPB Campbell Campbell Soup Campbell Soup Co	CPB.N	1.25392555
Expeditors International of Washington Inc	EXPD Expeditors Expeditors International Expeditors International of Expeditors International of Washington Expeditors International of Washington Inc	EXPD.OQ	1.25352572
Vornado Realty Trust	VNO Vornado Vornado Realty Vornado Realty Trust	VNO.N	1.244584904
Paycom Software Inc	PAYC Paycom Paycom Software Paycom Software Inc	PAYC.N	1.2355875379999999
Wynn Resorts Ltd	WYNN Wynn Wynn Resorts Wynn Resorts Ltd	WYNN.OQ	1.226355307
MGM Growth Properties LLC	MGP MGM MGM Growth MGM Growth Properties MGM Growth Properties LLC	MGP.N	1.224419278
NVR Inc	NVR NVR NVR Inc	NVR.N	1.223767603
Take-Two Interactive Software Inc	TTWO Take-Two Take-Two Interactive Take-Two Interactive Software Take-Two Interactive Software Inc	TTWO.OQ	1.223725264
GoDaddy Inc	GDDY GoDaddy GoDaddy Inc	GDDY.N	1.2229793279999999
Skyworks Solutions Inc	SWKS Skyworks Skyworks Solutions Skyworks Solutions Inc	SWKS.OQ	1.22168762
Yandex NV	YNDX Yandex Yandex NV	YNDX.OQ	1.221270877
Rollins Inc	ROL Rollins Rollins Inc	ROL.N	1.214997286
Atmos Energy Corp	ATO Atmos Atmos Energy Atmos Energy Corp	ATO.N	1.210178852
Seagate Technology PLC	STX Seagate Seagate Technology Seagate Technology PLC	STX.OQ	1.207269369
CenturyLink Inc	CTL CenturyLink CenturyLink Inc	CTL.N	1.192432667
Viacom Inc	VIAB Viacom Viacom Inc	VIAB.OQ	1.191940414
IDEX Corp	IEX IDEX IDEX Corp	IEX.N	1.191096008
Marketaxess Holdings Inc	MKTX Marketaxess Marketaxess Holdings Marketaxess Holdings Inc	MKTX.OQ	1.188747837
Cboe Global Markets Inc	CBOE Cboe Cboe Global Cboe Global Markets Cboe Global Markets Inc	CBOE.Z	1.185029752
W. R. Berkley Corp	WRB W. W. R. W. R. Berkley W. R. Berkley Corp	WRB.N	1.183935825
Symantec Corp	SYMC Symantec Symantec Corp	SYMC.OQ	1.1792057329999999
Varian Medical Systems Inc	VAR Varian Varian Medical Varian Medical Systems Varian Medical Systems Inc	VAR.N	1.172776384
Steris plc	STE Steris Steris plc	STE.N	1.1698889590000001
